round	geni_id	qid	slot	method	from_geni	from_qid	evidence
1	3008277	Q106393326	child	date	6000000030816516221	Q105499370	born 1758 vs 1758
1	302110833180004869	Q254654	child	name	6000000003424379813	Q156774	shared: leopoldina
1	302306186170008225	Q1703679	spouse	date	6000000000531627997	Q529944	born 1157 vs 1157
1	302329770210002882	Q75382599	spouse	solo	6000000001588496007	Q5344605	position
1	302536438450005624	Q3656003	child	date	6000000002005998997	Q236936	born 170 vs 170
1	303005984350002682	Q237622	child	solo	6000000036368898440	Q3132611	position
1	303017853050005647	Q7879756	child	name	6000000010502212759	Q112897589	shared: ulpia
1	303022947610002718	Q3722901	child	solo	303021670170005628	Q452705	position
1	303641689860003787	Q75389552	spouse	solo	6000000006727947812	Q22110529	position
1	3044393	Q8044361	spouse	solo	6000000023701404124	Q16077602	position
1	3047566	Q50512407	spouse	solo	3047562	Q16650467	position
1	305505408250004454	Q101247640	father	solo	6000000005931155527	Q99301915	position
1	305976324250005669	Q254374	mother	solo	6000000010107772824	Q96239458	position
1	307046056690002160	Q123359125	spouse	solo	6000000006807922603	Q6086633	position
1	310676355850008253	Q5969887	child	name	310751065250001432	Q3352137	shared: lars
1	310755669690002927	Q5969883	child	name	310751065250001432	Q3352137	shared: johan
1	310755939310003867	Q57167627	child	name	310751065250001432	Q3352137	shared: louise
1	310795735510001425	Q61212	father	solo	6000000013093047464	Q61169	position
1	310819008380006487	Q75246278	child	name	6000000002063250998	Q62647	shared: otto
1	310819669750006482	Q75246277	child	name	6000000002063250998	Q62647	shared: conrad
1	310820026550008253	Q2513872	spouse	name	6000000002063250998	Q62647	shared: brabant,elizabeth
1	310821480990007052	Q677345	child	name	6000000002063250998	Q62647	shared: luther
1	310860252020005673	Q29344083	child	date	6000000000307283732	Q2308926	born 1670 vs 1670
1	310869549760008257	Q1426441	spouse	solo	6000000002240801701	Q66882	position
1	311660289120008289	Q70984	child	date	6000000000307283732	Q2308926	born 1678 vs 1678
1	311731497930005744	Q62481	spouse	solo	6000000007605391351	Q2086776	position
1	312092994390004595	Q238458	spouse	date	311788525210007050	Q58773	born 1737 vs 1737
1	312422053980007074	Q273808	child	solo	6000000000720104111	Q712674	position
1	312489525850007128	Q1938760	child	date	312479826640001569	Q168674	born 1851 vs 1851
1	313504597530002074	Q134882073	child	name	6000000033927843183	Q5730248	shared: alexander
1	313670929900002772	Q19838821	child	date	313669660630001372	Q115525	born 1770 vs 1770
1	3137536	Q553550	child	date	3602282	Q434771	born 1510 vs 1510
1	3137692	Q14841647	father	solo	3137665	Q15901190	position
1	3137997	Q130896	father	solo	6000000010132173972	Q2664809	position
1	314509167280001262	Q132188819	father	solo	6000000002588529156	Q52509123	position
1	315331424140002728	Q98050963	father	solo	315336717180006465	Q98050960	position
1	315704712390006463	Q12310276	father	solo	315716045860008010	Q12309738	position
1	315714590720006428	Q12331873	child	name	315716483490004667	Q124249780	shared: pil
1	316665486200008333	Q50383861	father	solo	316670476240006520	Q205185	position
1	317507680190006563	Q124021864	spouse	solo	316670476240006520	Q205185	position
1	317671909630001390	Q101247657	mother	solo	4018689	Q110386259	position
1	317708579610001391	Q76312421	spouse	name	317708477140002329	Q75778499	shared: janet,ogilvy
1	318696605220006609	Q103782790	mother	solo	6000000004457921034	Q103781466	position
1	321047597580002316	Q130683608	father	solo	321048379970004863	Q834652	position
1	321249986350006345	Q101247184	mother	solo	6000000001934304946	Q6327124	position
1	322112186500007391	Q110303577	mother	solo	6000000003961965399	Q110303100	position
1	322122353900004992	Q99301926	spouse	name	6000000007510676522	Q6145052	shared: anna,sested
1	322124492150002341	Q130750989	child	name	329660282540006121	Q6031752	shared: elisabet
1	322125935320007344	Q28922688	spouse	solo	4591407	Q155127	position
1	323089148770004264	Q131441536	child	name	6000000006110954055	Q131441539	shared: hannah
1	3249363	Q103780603	mother	solo	6000000012116876542	Q3356793	position
1	3250235	Q103780589	mother	solo	6000000000407999879	Q6179855	position
1	328003699320004652	Q128803927	mother	solo	6000000006127393321	Q135665873	position
1	328058257770004654	Q75767077	mother	solo	6000000000669136730	Q5544830	position
1	328058456530002972	Q105961247	spouse	date	6000000001747686561	Q7412891	born 1753 vs 1753
1	328064865480001109	Q114458273	child	name	6000000000669136730	Q5544830	shared: samuel,walter
1	328147886880005469	Q109179696	mother	solo	6000000007337810663	Q108914490	position
1	328148159350004655	Q109179186	father	solo	6000000007337810663	Q108914490	position
1	329667511990007558	Q130750959	child	name	329660282540006121	Q6031752	shared: birgitta
1	329670482180007534	Q130751024	child	name	329660282540006121	Q6031752	shared: märta
1	333498821030004466	Q17312524	child	name	333548762150012691	Q213871	shared: theodor
1	333550262480011868	Q450985	mother	solo	6000000001753122280	Q12304944	position
1	335848880110006014	Q45485638	father	solo	6000000074734555845	Q45485699	position
1	335854384000006042	Q45422189	child	solo	6000000074734163939	Q45422187	position
1	336178270510011716	Q75100560	child	date	6000000002459911719	Q75101180	born 1244 vs 1244
1	336530723230014235	Q7526447	father	solo	6000000049903029129	Q75538095	position
1	336530813020014239	Q75536572	mother	solo	6000000006348964543	Q7526450	position
1	336540115720011832	Q4718808	father	solo	6000000000305170866	Q7617163	position
1	337583936630006109	Q273627	spouse	name	6000000002119510494	Q46418	shared: eusebia
1	338393359790011486	Q75431601	child	name	6000000006444214658	Q1103474	shared: margaret
1	339446815790012895	Q130359469	father	solo	339435131070013659	Q1663709	position
1	340770956840013025	Q3366247	spouse	solo	340770538460013025	Q1357343	position
1	340820289410001358	Q55900144	spouse	solo	340821498810006584	Q168356	position
1	340831793700006589	Q16064115	father	solo	340821498810006584	Q168356	position
1	341670938620011531	Q108133411	spouse	solo	6000000002848745021	Q116208319	position
1	342024963440013580	Q131048256	father	solo	6000000019949561249	Q6200306	position
1	342026151920011851	Q29246906	mother	solo	6000000004213760892	Q16616050	position
1	343548232180013065	Q105796399	child	name	6000000008635622692	Q107305306	shared: luitgard
1	343758628940005731	Q946885	child	name	343757482190004580	Q4983880	shared: magnus
1	346194696720012050	Q75388133	child	name	6000000000490885066	Q75388124	shared: david
1	347217641430012561	Q12298066	mother	solo	347216548970004818	Q316874	position
1	347657700690011265	Q161831	father	solo	363871132870012262	Q53435	position
1	348931973910011551	Q546611	child	name	6000000000899942202	Q205359	shared: charles
1	350601108280001210	Q75252171	child	name	6000000002113066241	Q561173	shared: christopher
1	350606131770001166	Q75252174	child	name	6000000002113066241	Q561173	shared: lewis
1	350606221370001163	Q75252175	spouse	name	6000000000777855127	Q3806461	shared: joan,talbot
1	352411058120003159	Q99302101	spouse	name	6000000001458026093	Q6184891	shared: axelsdotter,dag,margareta,natt
1	356601173070003496	Q3112191	mother	solo	6000000003087125859	Q2616032	position
1	357363007900012581	Q109012638	child	solo	357364789940012594	Q16063771	position
1	358372511300011904	Q551210	child	name	6000000012743369722	Q287503	shared: valdemar
1	358414969920005190	Q378217	child	name	6000000004903076002	Q353823	shared: charles
1	359126916970004206	Q7330190	child	date	6000000009436980438	Q5730764	born 1195 vs 1198
1	359279068060001896	Q110738135	father	solo	6000000002187821274	Q41660	position
1	359282548040006278	Q727828	child	solo	359281527140013083	Q210564	position
1	361043261500011657	Q747809	spouse	date	6000000000460726610	Q313427	born 1203 vs 1204
1	361043895350006536	Q459489	child	name	6000000000460726610	Q313427	shared: kaliman
1	361089647570003508	Q240407	mother	solo	361089507860011643	Q37070	position
1	361239376580007703	Q2658379	mother	solo	361250787660004588	Q660578	position
1	361239904280001373	Q37084	father	solo	361242720430013551	Q329708	position
1	361240244600012699	Q2574542	mother	solo	361242720430013551	Q329708	position
1	361240461010012653	Q513490	child	name	4953926232780130809	Q285508	shared: andronikos
1	361240881420011659	Q2360993	spouse	solo	4953926232780130809	Q285508	position
1	361246584430007702	Q3657814	mother	solo	361246792660007630	Q37089	position
1	361247784740007621	Q272418	mother	solo	361248587300001388	Q704973	position
1	361249042200013426	Q3656644	spouse	name	361248587300001388	Q704973	shared: cleofa,malatesta
1	361249243780011638	Q878962	father	solo	6000000008467712710	Q878977	position
1	361249577580001353	Q2631753	child	date	6000000000670279300	Q37097	born 1400 vs 1400
1	361255292390013563	Q15844653	mother	solo	6000000008415678736	Q2603165	position
1	361885454580013913	Q4060972	mother	solo	6000000000671874700	Q188995	position
1	361889592490004752	Q2287599	father	solo	361890384880013875	Q6146474	position
1	361894067060010367	Q23760942	spouse	date	361886414530007915	Q297102	born 1329 vs 1330
1	361895149860007937	Q982255	child	name	6000000003858776885	Q380373	shared: dmitry
1	361899168470007979	Q30879239	mother	solo	6000000009133852296	Q548014	position
1	362747067860004808	Q98100307	child	name	6000000000045566727	Q96311194	shared: sarah
1	363459300950013490	Q75275143	father	solo	363455350330012355	Q4718993	position
1	363466680820005860	Q41641831	father	solo	6000000012400273621	Q76074038	position
1	363883666190011719	Q53442	father	solo	363886034950010574	Q3228728	position
1	363891982190012264	Q54052	child	name	6000000002400899638	Q54013	shared: spindleshanks,władysław
1	363920011020004040	Q53445	child	name	6000000006906665142	Q280053	shared: bearded,henry
1	364405778100011083	Q53994	child	date	6000000002240810096	Q936880	born 1241 vs 1241
1	364408738850013706	Q434662	spouse	solo	6000000003937220101	Q53446	position
1	364470939950012477	Q75387315	spouse	solo	6000000000307276027	Q75386874	position
1	364527108850006939	Q2251185	child	date	6000000003827400158	Q252763	born 1334 vs 1335
1	364546996610002449	Q32607	father	solo	370822999470007686	Q313396	position
1	365372056200006257	Q68110236	mother	solo	6000000004286903358	Q3132414	position
1	365411847800006405	Q7184742	mother	solo	6000000000796850865	Q1286864	position
1	365905933060011675	Q93526	child	date	365905212100002761	Q22222795	born 1944 vs 1946
1	365966590160012218	Q20907360	child	date	365964101940007000	Q5571409	born 1915 vs 1915
1	366244888640011862	Q359259	child	name	6000000003232558141	Q177903	shared: saint
1	367115010670011049	Q75387795	spouse	solo	6000000021767291047	Q75387765	position
1	3679726	Q110229397	spouse	date	6000000002797426903	Q6206338	born 1624 vs 1624
1	3679766	Q109657843	child	date	4592389631850013037	Q4980659	born 1635 vs 1635
1	368242024260011286	Q18526380	child	name	6000000002116154552	Q6235735	shared: alexander
1	368483634080002549	Q110549260	father	solo	6000000008377738313	Q122962082	position
1	368713820640003185	Q631524	father	solo	368714613840011374	Q311861	position
1	368714154710012201	Q75394476	mother	solo	368714613840011374	Q311861	position
1	368942672780005439	Q1325720	spouse	date	6000000007179405769	Q1000874	born 1387 vs 1386
1	3696730	Q263296	child	solo	6000000000437327174	Q2042216	position
1	370166216450011194	Q98697738	mother	solo	6000000195206694875	Q101247393	position
1	370812248160011599	Q236886	child	name	6000000001044775728	Q437838	shared: beatrice
1	371383033520011121	Q20499093	spouse	solo	6000000003828287409	Q41834	position
1	373825433260012185	Q2544015	father	solo	373802532570013532	Q1885178	position
1	373825948450007046	Q106875612	mother	solo	373802532570013532	Q1885178	position
1	374186411790012301	Q18209847	spouse	solo	374185011530004394	Q128011933	position
1	374702604860007088	Q47541485	father	solo	6000000012412836651	Q1175942	position
1	375693712960012610	Q748091	father	solo	6000000000460726610	Q313427	position
1	375703482600011411	Q518598	child	name	6000000000460726610	Q313427	shared: michael
1	375743294250004675	Q715297	father	solo	6000000003696173652	Q703842	position
1	375771159210012562	Q574537	mother	solo	375773065110012019	Q6763915	position
1	375776553260012661	Q558653	child	name	375777528840004741	Q379723	shared: chaka
1	375778456890012663	Q24955072	spouse	name	375777528840004741	Q379723	shared: euphrosyne,palaiologina
1	375784738310012619	Q234805	mother	solo	375783977160004715	Q186581	position
1	376406918790013422	Q234568	mother	solo	376470307830012909	Q459441	position
1	376411602640013414	Q181261	father	solo	376470307830012909	Q459441	position
1	376456844520011080	Q131142450	mother	solo	4954353449500028686	Q453491	position
1	376457900180011459	Q3496896	spouse	name	4954353449500028686	Q453491	shared: ana,neda
1	376460534500005789	Q735831	mother	solo	6000000008584105882	Q75288129	position
1	376461877660013431	Q442756	father	solo	6000000008584105882	Q75288129	position
1	377006802150012096	Q111954888	child	name	6000000003897404845	Q6156782	shared: märta
1	377256097400012303	Q20028150	father	solo	6000000017606616647	Q6761715	position
1	377258997460012307	Q447704	spouse	solo	377258641830013695	Q849017	position
1	377259285000012201	Q23769818	child	name	377258641830013695	Q849017	shared: marija
1	377259658320002147	Q1272767	spouse	solo	377260811960002204	Q453869	position
1	377386245700013789	Q92189452	spouse	solo	6000000009659321697	Q128031270	position
1	377621253150007585	Q962398	child	name	6000000000424586295	Q2011924	shared: cadwallon
1	377633143710013804	Q122364468	father	solo	6000000002059850237	Q17382614	position
1	377633663810013807	Q122364477	mother	solo	6000000002059850237	Q17382614	position
1	377649183480004232	Q1327859	mother	solo	6000000003827309346	Q4067684	position
1	377663071280012351	Q116055661	father	solo	377661791800005806	Q2398021	position
1	378271468310013093	Q136193173	mother	solo	6000000000325079779	Q136193178	position
1	3784382	Q464081	child	solo	6000000002187952991	Q12294462	position
1	383205592810012430	Q75889756	father	solo	6000000185361653909	Q75896094	position
1	384070862300011689	Q76298658	mother	solo	6000000003346787945	Q2746904	position
1	384745660540013670	Q40104550	father	solo	4631415	Q110457180	position
1	384957042050004258	Q99301907	mother	solo	384955697100012616	Q99301904	position
1	385035064430011809	Q4130535	child	name	6000000005416616842	Q2332287	shared: yaroslavich
1	386743189540005666	Q4959104	spouse	solo	6000000009239818534	Q6228030	position
1	387982253800007385	Q5715368	mother	solo	5005151048670058255	Q1396437	position
1	387994782580005723	Q84090956	spouse	solo	6000000000319468337	Q5640299	position
1	388476407570002989	Q18161557	child	name	6000000022190249677	Q4710895	shared: anthony
1	388714070460007453	Q110302069	mother	solo	6000000000137960977	Q6068982	position
1	388793565870003237	Q56258080	mother	solo	6000000005792904234	Q231827	position
1	389789863260004418	Q45379787	father	solo	6000000074738195868	Q45379789	position
1	391150735400004649	Q23893964	child	date	391175440340012826	Q23988596	born 1923 vs 1924
1	3929061297010049751	Q117353135	father	solo	3929069267310061288	Q96357580	position
1	3929120257190040478	Q111633204	child	name	3929097886490121786	Q106412682	shared: johan
1	3985322	Q108840739	father	solo	6000000003343999853	Q4988843	position
1	3998497	Q262739	spouse	name	6000000006131567298	Q44387	shared: artystone
1	4015183362770034969	Q87783197	child	name	6000000000350942569	Q96199884	shared: mercy
1	4028933255290011118	Q110313606	mother	solo	6000000000356924158	Q110313443	position
1	4047727089520079185	Q110304466	mother	solo	6000000001504319854	Q110304465	position
1	4067193420310059797	Q12309313	child	name	353227352640011019	Q116458229	shared: ebbe
1	4068297799740031007	Q452673	child	date	6000000006244496074	Q110884	born 502 vs 502
1	4076929673010124126	Q108434577	father	solo	6000000001805189668	Q24019564	position
1	4083563	Q6008802	spouse	solo	6000000000695312067	Q2443616	position
1	4085335	Q111189569	mother	solo	6000000010762676675	Q18238102	position
1	4085368611040124960	Q105796231	mother	solo	6000000012749365249	Q2492593	position
1	4085562	Q96217665	child	name	6000000000424970784	Q96217667	shared: juana
1	4093676309000010109	Q96244826	mother	solo	6000000006910563880	Q96244822	position
1	4093711337850033819	Q102830155	father	solo	6000000000474020128	Q57605554	position
1	4127785360220059581	Q6170694	father	solo	6000000010704177476	Q6214980	position
1	4129627026610124706	Q116983467	child	date	6000000002043178550	Q75384680	born 1005 vs 1005
1	4129655224770040509	Q116983391	spouse	solo	6000000002043178550	Q75384680	position
1	4163281489520079403	Q75906286	child	date	4163330522520032257	Q75575958	born 1886 vs 1886
1	4163342642150055628	Q75906289	child	date	4163330522520032257	Q75575958	born 1894 vs 1894
1	4171875194880024001	Q75387815	spouse	solo	6000000002043214819	Q1778144	position
1	4179529082270074196	Q75371152	child	name	4179557875410125091	Q131704667	shared: venceslao
1	4179623622700125728	Q3665517	father	solo	4179600881960025620	Q3756761	position
1	4181143232070010886	Q110588080	child	date	6000000001982191351	Q110586550	born 1634 vs 1634
1	4181250149390035423	Q4266847	child	name	6000000004903076002	Q353823	shared: knudsdatter
1	4183357	Q110548841	child	name	6000000013344638000	Q6014602	shared: nordenfelt
1	4189058181370041848	Q29419475	father	solo	5699458417270134751	Q5408053	position
1	4191586677080065784	Q6821310	child	date	6000000003011286030	Q473756	born 1723 vs 1723
1	4207878	Q5812602	father	solo	5543650082330080548	Q5812609	position
1	4224136108080121326	Q229592	mother	solo	6000000002131803922	Q237900	position
1	4225312789020057152	Q4450926	mother	solo	4202797373630036356	Q61467	position
1	4226067	Q5930780	child	name	6000000011286868602	Q5930757	shared: joen
1	4235130604110046555	Q1701833	spouse	name	6000000008630789607	Q10325581	shared: atholl,john,stewart
1	4236476433720077523	Q28356913	child	name	5699436199970135193	Q704066	shared: einar
1	4240537919610035130	Q110386205	father	solo	4240179727450124017	Q5805081	position
1	4246499	Q3695638	spouse	date	5203671294210030824	Q953878	born 1428 vs 1426
1	4246764	Q24066899	father	solo	5203619525290088777	Q932356	position
1	4246765	Q61636573	mother	solo	5203619525290088777	Q932356	position
1	4246886	Q3395885	spouse	date	4246895	Q506640	born 1428 vs 1428
1	4250277552260051005	Q52156376	child	solo	4250296254630028377	Q116346667	position
1	4250296231220063485	Q27661831	child	name	6000000008341633511	Q27835190	shared: mario
1	4250298012080079531	Q3830723	child	name	6000000008341287199	Q55684789	shared: leopoldo
1	4250306164680049781	Q16271474	child	name	4250310319520050819	Q22926744	shared: agostino
1	4250310342000028385	Q76018196	spouse	name	4250310319520050819	Q22926744	shared: flaminia,odescalchi
1	4256705952020039745	Q23771111	spouse	date	6000000001504715942	Q66888	born 1540 vs 1540
1	4256719696270064351	Q55155115	father	solo	6000000006727764771	Q55168568	position
1	4258867	Q233178	mother	solo	6000000000350950665	Q187998	position
1	4258970970100070152	Q466257	child	name	6000000005936551695	Q314521	shared: rozala
1	4259042	Q6214652	father	solo	6000000001045079246	Q108316	position
1	4259143	Q108432027	child	name	4259048	Q18156578	shared: juana
1	4259176	Q1153737	spouse	date	6000000001045265093	Q191103	born 1481 vs 1481
1	4259216	Q3940051	child	name	6000000001045265093	Q191103	shared: aragon,rodrigo
1	4259374	Q1955329	mother	solo	4259386	Q31240	position
1	4264137824880038907	Q1188419	child	solo	6000000009132730377	Q61754424	position
1	4264454027030065540	Q19818267	child	name	4263603049460053829	Q1389332	shared: samuel
1	4264540977180065944	Q73763253	spouse	solo	4264437977280128056	Q73763136	position
1	4265302014980128122	Q939520	father	solo	6000000002304345688	Q257036	position
1	4268988	Q61727005	mother	solo	6000000001893607236	Q913241	position
1	4269184	Q3840478	child	name	6000000001063169161	Q177854	shared: luisa
1	4269228	Q333340	child	name	6000000001063169161	Q177854	shared: giuliano,nemours
1	4269521	Q1113645	mother	solo	6000000001063169161	Q177854	position
1	4283267002730060380	Q690327	child	date	6000000002004156074	Q12967	born 1859 vs 1859
1	4285434	Q1305838	father	solo	4077582	Q242598	position
1	4293217	Q2366364	spouse	solo	6000000003827464432	Q2709490	position
1	4293309	Q471475	spouse	solo	6000000004533138274	Q2051043	position
1	4301208601180054964	Q133891316	mother	solo	6000000001354328512	Q128254358	position
1	4309959632010067721	Q111189014	child	name	4308167047540043433	Q5584772	shared: karin
1	4309976041010067293	Q50351267	mother	solo	4429265737500075502	Q50355734	position
1	4321098567160010617	Q2749178	father	solo	4321093289530030615	Q1386429	position
1	4322668	Q958817	father	solo	6000000001922570507	Q99301929	position
1	4340569837790025884	Q75561221	child	name	5614178293470033239	Q942577	shared: margaret
1	4342753987680065165	Q104211882	father	solo	4342791738300125831	Q5801534	position
1	4349450	Q99301933	mother	solo	6000000001922570507	Q99301929	position
1	4353663811950013393	Q75739353	spouse	name	6000000024229811136	Q75739460	shared: jonathan,tyng
1	4355819343220054580	Q365085	spouse	solo	6000000003645734414	Q2919957	position
1	4363165195640021509	Q2041044	father	solo	6000000006874552685	Q4534882	position
1	4363184995560049059	Q2080596	father	solo	6000000033241829107	Q2349206	position
1	4363245702860036902	Q2669823	child	date	6000000000671790465	Q355869	born 1355 vs 1355
1	4368416013130031112	Q12210975	spouse	name	6000000007602193270	Q182914	shared: khawla
1	4369107	Q98697688	father	solo	6000000011590224598	Q103781939	position
1	4369463	Q64125	mother	solo	6000000001367996850	Q78224	position
1	4372078941100029399	Q3064488	mother	solo	6000000004316193251	Q316869	position
1	4377269	Q48562235	father	solo	6000000007442688545	Q1168365	position
1	4398422394580024852	Q16528010	child	name	6000000000751132319	Q1328	shared: alberto
1	4398539740780084208	Q16562274	child	name	6000000000751132319	Q1328	shared: enrique
1	4413037	Q2507940	child	solo	6000000001063161411	Q48544	position
1	4419737840620030736	Q27835186	father	solo	4250310319520050819	Q22926744	position
1	4419737899550021662	Q130313011	mother	solo	4250310319520050819	Q22926744	position
1	4419771655010030488	Q27999314	father	solo	6000000013429233862	Q110459125	position
1	4419771697210021677	Q110459127	mother	solo	6000000013429233862	Q110459125	position
1	4419784885600127318	Q26899109	father	solo	6000000112536167836	Q130527446	position
1	4419784919120021680	Q110459208	child	name	6000000010282725212	Q7132152	shared: maria,virginia
1	4419816435970068562	Q100441573	father	solo	4419858038520054927	Q127254	position
1	4420665020940030271	Q5906632	father	solo	4420756537630043200	Q23989444	position
1	4442868391570026354	Q96203262	mother	solo	6000000003578810979	Q96203257	position
1	4474758689980023559	Q75616804	mother	solo	6000000000232615303	Q75616710	position
1	4475084324010076168	Q98545598	spouse	solo	4475099330300069802	Q931295	position
1	4479332664060024502	Q11952039	mother	solo	6000000004533664172	Q44828487	position
1	4482027271370057128	Q75453611	child	date	6000000002411796203	Q75453625	born 1250 vs 1250
1	4510922817560034706	Q75241186	spouse	solo	6000000003649778125	Q8009090	position
1	4510970565170055851	Q5721272	father	solo	6000000006444299812	Q76268796	position
1	4519178	Q75280400	child	date	6000000006444762793	Q5722230	born 1538 vs 1538
1	4522515	Q76248369	spouse	name	6000000006444777484	Q5339365	shared: cocker
1	4522575	Q11935483	child	name	6000000016323959434	Q475980	shared: sibylla
1	4535864	Q103787995	child	date	6000000003962156085	Q5575615	born 1539 vs 1539
1	4544451050020032494	Q75295200	spouse	solo	6000000077607174764	Q75295202	position
1	4568525560870129898	Q75520034	father	solo	6000000006444553640	Q75876638	position
1	4569881930670120005	Q4725324	child	name	6000000003310723649	Q1164707	shared: ali
1	4569900099540082773	Q6777752	child	solo	6000000001694449866	Q2300129	position
1	4584795	Q4980360	mother	solo	6000000001951628857	Q452506	position
1	4591227	Q18326069	spouse	solo	4591334	Q2253913	position
1	4592389579890053526	Q18246625	spouse	date	4592389631850013037	Q4980659	born 1586 vs 1586
1	4594705744500072820	Q1145034	spouse	date	6000000002188193498	Q293599	born 593 vs 593
1	4594928567140034091	Q111699019	spouse	name	6000000002603390248	Q111699042	shared: coucy,melisende
1	4613540682210058642	Q378081	child	solo	6000000009432092256	Q317457	position
1	4614492462350078376	Q958918	father	solo	6000000001210401775	Q116005748	position
1	4616304922690026709	Q263791	spouse	date	6000000000388939419	Q9458	born 606 vs 604
1	4631992	Q5541448	father	solo	3137562	Q5715509	position
1	4642701	Q75568044	child	name	6000000006444753685	Q5608123	shared: robert
1	4642739	Q75563989	child	name	6000000006444753685	Q5608123	shared: 7th,william
1	4644828	Q237510	child	date	6000000002363192047	Q187114	born 910 vs 910
1	4649799	Q97009435	mother	solo	4649920	Q51581772	position
1	4649823	Q115695115	child	name	4649793	Q56007101	shared: henri
1	4650216	Q116469093	mother	solo	6000000012349477651	Q3087450	position
1	4658611797410060866	Q75772979	child	date	6000000006444674882	Q7529771	born 1497 vs 1495
1	4664857630510061497	Q153344	child	name	6000000002465038702	Q40930	shared: meritaten
1	4692391	Q231834	mother	solo	6000000000769996993	Q373906	position
1	4694677	Q510987	mother	solo	6000000000720420100	Q536615	position
1	4694751	Q234442	child	date	4694693	Q57632	born 1784 vs 1784
1	4696016	Q1125417	mother	solo	6000000008606724959	Q2551159	position
1	4696530377970012596	Q110505396	mother	solo	6000000013296074666	Q110505394	position
1	4703804125290089968	Q6077835	child	date	4703817009760067257	Q2917985	born 1329 vs 1329
1	4721915103510026677	Q109335168	spouse	solo	4721915082160027189	Q65145679	position
1	4722083112690060786	Q108433487	father	solo	4722071183680079912	Q2935138	position
1	4722085825290038085	Q108433488	father	solo	6000000009544774015	Q101266	position
1	4722085853270026698	Q108433489	mother	solo	6000000009544774015	Q101266	position
1	4732226613930039269	Q110371457	mother	solo	6000000025874848348	Q708618	position
1	4733427815130029056	Q76018208	mother	solo	6000000016245331321	Q84921662	position
1	4733470215610038730	Q3034750	father	solo	4733445930230061690	Q130313013	position
1	4733470251380029064	Q130313087	mother	solo	4733445930230061690	Q130313013	position
1	4741836	Q75495636	child	solo	6000000009357438580	Q75495638	position
