family,name,native_name,geni_id,qid,regnal_number,number_in_office,geni_status,source
Izumo,Izumo no Miko,,,Q135579371,,21,not found in the corpus,reports/izumo-geni-candidates.tsv
Izumo,Izumo no Eiya,,6000000227331968838,Q135579373,,22,succession number confirms it,reports/izumo-geni-candidates.tsv
Izumo,Izumo no Obitake,,6000000227331852896,Q135579374,,23,succession number confirms it,reports/izumo-geni-candidates.tsv
Izumo,Izumo no Hatayasu,,,Q95161958,,24,not found in the corpus,reports/izumo-geni-candidates.tsv
Izumo,Izumo no Hiroshima,,6000000227332003822,Q92924732,,25,succession number confirms it,reports/izumo-geni-candidates.tsv
Izumo,Izumo no Otoyama,,6000000227334262869,Q95161949,,26,succession number confirms it,reports/izumo-geni-candidates.tsv
Izumo,Izumo no Masukata,,,Q95161959,,27,not found in the corpus,reports/izumo-geni-candidates.tsv
Izumo,Izumo no Kunikami,,6000000227334396821,Q135579375,,28,succession number confirms it,reports/izumo-geni-candidates.tsv
Izumo,Izumo no Kuninari,,6000000227334231868,Q135579376,,29,succession number confirms it,reports/izumo-geni-candidates.tsv
Izumo,Izumo no Hitonaga,,6000000227331711977,Q135579377,,30,succession number confirms it,reports/izumo-geni-candidates.tsv
Izumo,Izumo no Chikuni,,6000000227334372830,Q135579379,,31,succession number confirms it,reports/izumo-geni-candidates.tsv
Izumo,Izumo no Kanemutsu,,6000000227334291838,Q135579378,,32,succession number confirms it,reports/izumo-geni-candidates.tsv
Izumo,Izumo no Tabito,,6000000227331940846,Q135579380,,33,succession number confirms it,reports/izumo-geni-candidates.tsv
Izumo,Izumo no Toyomochi,,6000000227331882876,Q135579381,,34,succession number confirms it,reports/izumo-geni-candidates.tsv
Izumo,Izumo no Tokinobu,,6000000227331950830,Q135579382,,35,succession number confirms it,reports/izumo-geni-candidates.tsv
Izumo,Izumo no Tsunesuke,,6000000227331989821,Q135579384,,36,succession number confirms it,reports/izumo-geni-candidates.tsv
Izumo,Izumo no Ujihiro,,6000000227331939856,Q135579385,,36,succession number confirms it,reports/izumo-geni-candidates.tsv
Izumo,Izumo no Harutoshi,,6000000227331884904,Q135579386,,38,succession number confirms it,reports/izumo-geni-candidates.tsv
Izumo,Izumo no Yoshitada,,6000000222521205883,Q135579387,,39,matcher: match (outside the ball),reports/izumo-geni-candidates.tsv
Izumo,Izumo no Kuniaki,,6000000227331789887,Q135579388,,40,succession number confirms it,reports/izumo-geni-candidates.tsv
Izumo,Izumo no Kunitake,,6000000227331619947,Q135579389,,41,succession number confirms it,reports/izumo-geni-candidates.tsv
Izumo,Izumo no Yukikane,,6000000227331796880,Q135579391,,42,succession number confirms it,reports/izumo-geni-candidates.tsv
Izumo,Izumo no Munefusa,,6000000227334351847,Q135579394,,43,succession number confirms it,reports/izumo-geni-candidates.tsv
Izumo,Izumo no Kanemune,,6000000227331915821,Q135579395,,44,succession number confirms it,reports/izumo-geni-candidates.tsv
Izumo,Izumo no Kanetada,,6000000227331730867,Q135579397,,45,succession number confirms it,reports/izumo-geni-candidates.tsv
Izumo,Izumo no Kanetsune,,6000000227334361840,Q135579398,,46,succession number confirms it,reports/izumo-geni-candidates.tsv
Izumo,Izumo no Munetaka,,6000000227331623962,Q135579399,,47,succession number confirms it,reports/izumo-geni-candidates.tsv
Izumo,Izumo no Takafusa,,6000000227331729891,Q135579400,,48,succession number confirms it,reports/izumo-geni-candidates.tsv
Izumo,Izumo no Takatsuna,,6000000227331840857,Q135579402,,49,succession number confirms it,reports/izumo-geni-candidates.tsv
Izumo,Izumo no Masataka,,6000000227331607945,Q135579404,,50,succession number confirms it,reports/izumo-geni-candidates.tsv
Izumo,Izumo no Yoshitaka,,6000000227331852838,Q135579406,,51,succession number confirms it,reports/izumo-geni-candidates.tsv
Izumo,Izumo no Yasutaka,,,Q135579407,,52,not found in the corpus,reports/izumo-geni-candidates.tsv
Izumo,Izumo no Takatoki,,6000000222507315857,Q135579409,,53,matcher: match (outside the ball),reports/izumo-geni-candidates.tsv
Izumo,Izumo no Kiyotaka,,6000000019460072018,Q135579414,,54,"sole match, no number in the label",reports/izumo-geni-candidates.tsv
Senge,Senge no Takamune,,6000000019459773306,Q135579415,,55,matcher: match (outside the ball),reports/izumo-geni-candidates.tsv
Senge,Senge no Naokuni,,6000000019459924115,Q135579420,,56,matcher: match (outside the ball),reports/izumo-geni-candidates.tsv
Senge,Senge no Takakuni,,6000000019459850459,Q135579441,,57,"sole match, no number in the label",reports/izumo-geni-candidates.tsv
Senge,Senge no Mochikuni,,6000000019459881225,Q135579455,,58,"sole match, no number in the label",reports/izumo-geni-candidates.tsv
Senge,Senge no Naonobu,,6000000019459822378,Q135579464,,59,"sole match, no number in the label",reports/izumo-geni-candidates.tsv
Senge,Senge no Takatoshi,,,Q135579471,,60,"AMBIGUOUS (2 hits, none numbered 60)",reports/izumo-geni-candidates.tsv
Senge,Senge no Toyotoshi,,6000000019460177052,Q135579478,,61,"sole match, no number in the label",reports/izumo-geni-candidates.tsv
Senge,Senge no Takakatsu,,6000000227334759839,Q135579472,,62,succession number confirms it,reports/izumo-geni-candidates.tsv
Senge,Senge no Naokatsu,,6000000227335699823,Q135579476,,63,succession number confirms it,reports/izumo-geni-candidates.tsv
Senge,Senge no Yoshikatsu,,6000000227331762828,Q135579477,,64,succession number confirms it,reports/izumo-geni-candidates.tsv
Senge,Senge no Yoshihiro,,6000000227331756829,Q135579481,,65,succession number confirms it,reports/izumo-geni-candidates.tsv
Senge,Senge no Motokatsu,,6000000227335415836,Q135579487,,66,succession number confirms it,reports/izumo-geni-candidates.tsv
Senge,Senge no Takanou,,6000000227335444826,Q135579491,,67,succession number confirms it,reports/izumo-geni-candidates.tsv
Senge,Senge no Takamitsu,,6000000227335353899,Q135579496,,68,succession number confirms it,reports/izumo-geni-candidates.tsv
Senge,Senge no Takafusa,,6000000227331605900,Q135579494,,69,succession number confirms it,reports/izumo-geni-candidates.tsv
Senge,Senge no Naoharu,,6000000227331698868,Q135579495,,70,succession number confirms it,reports/izumo-geni-candidates.tsv
Senge,Senge no Munetoshi,,,Q135579493,,71,"AMBIGUOUS (2 hits, none numbered 71)",reports/izumo-geni-candidates.tsv
Senge,Senge no Hiromitsu,,6000000227335472827,Q135579501,,72,succession number confirms it,reports/izumo-geni-candidates.tsv
Senge,Senge no Toyomasa,,6000000227331674921,Q135579498,,73,succession number confirms it,reports/izumo-geni-candidates.tsv
Senge,Senge no Toyomi,,6000000227331577963,Q135579499,,74,succession number confirms it,reports/izumo-geni-candidates.tsv
Senge,Senge no Toshikatsu,,6000000227331729823,Q135579505,,75,succession number confirms it,reports/izumo-geni-candidates.tsv
Senge,Senge no Toshihide,,6000000227331690863,Q135579508,,76,succession number confirms it,reports/izumo-geni-candidates.tsv
Kitajima,Kitajima no Sadataka,,6000000019459854230,Q135579416,,55,matcher: match (outside the ball),reports/izumo-geni-candidates.tsv
Kitajima,Kitajima no Yoshitaka,,6000000227335094894,Q135579421,,56,succession number confirms it,reports/izumo-geni-candidates.tsv
Kitajima,Kitajima no Yukitaka,,6000000227335131944,Q135579425,,57,succession number confirms it,reports/izumo-geni-candidates.tsv
Kitajima,Kitajima no Takataka,,6000000227335301867,Q135579447,,58,succession number confirms it,reports/izumo-geni-candidates.tsv
Kitajima,Kitajima no Yoshitaka,,6000000227335324856,Q135579457,,59,succession number confirms it,reports/izumo-geni-candidates.tsv
Kitajima,Kitajima no Masataka,,6000000227335360837,Q135579466,,60,succession number confirms it,reports/izumo-geni-candidates.tsv
Kitajima,Kitajima no Hidetaka,,6000000227335366839,Q135579475,,61,succession number confirms it,reports/izumo-geni-candidates.tsv
Kitajima,Kitajima no Hisataka,,6000000227335155963,Q135579485,,62,succession number confirms it,reports/izumo-geni-candidates.tsv
Kitajima,Kitajima no Hirokatsu,,6000000227335430822,Q135579488,,63,succession number confirms it,reports/izumo-geni-candidates.tsv
Kitajima,Kitajima no Harutaka,,6000000227335378827,Q135579492,,64,succession number confirms it,reports/izumo-geni-candidates.tsv
Kitajima,Kitajima no Tsunetaka,,6000000227335430827,Q135579497,,65,succession number confirms it,reports/izumo-geni-candidates.tsv
Kitajima,Kitajima no Kanetaka,,6000000227335397826,Q135579502,,66,succession number confirms it,reports/izumo-geni-candidates.tsv
Kitajima,Kitajima no Michitaka,,6000000227335299879,Q135579503,,67,succession number confirms it,reports/izumo-geni-candidates.tsv
Kitajima,Kitajima no Naotaka,,6000000227335344839,Q135579506,,68,succession number confirms it,reports/izumo-geni-candidates.tsv
Samaritan,Shashai II ben Uzzi Samaritan High Priest,,6000000178796053821,,II,4,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Bakhi II ben Sashai Samaritan High Priest,,6000000178915984982,,II,5,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Shalom I ben Shembet Samaritan High Priest,,6000000178918781824,,I,7,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Hezekiah I ben Shalom Samaritan High Priest,,6000000178913855067,,I,8,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Jonathan I Samaritan High Priest,,6000000178917300876,,I,9,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Jair I ben Jonathan Samaritan High Priest,,6000000178918426863,,I,10,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Daliah I Samaritan High Priest,,6000000178918812830,,I,11,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Jair II ben Daliah Samaritan High Priest,,6000000178917445863,,II,12,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Jonathan II ben Jair Samaritan High Priest,,6000000178918714857,,II,13,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Tabia I Samaritan High Priest,,6000000178918838823,,I,15,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Zedekiah I Samaritan High Priest,,6000000178918631830,,I,16,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Jair III Samaritan High Priest,,6000000178917518898,,III,18,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Hilkiah or Hezekiah II Samaritan High Priest,,6000000178914966945,,II,22,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Amram II Samaritan High Priest,,6000000178918544825,,II,23,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Akkubiah I Samaritan High Priest,,6000000178916918921,,I,25,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Hillel I Samaritan High Priest,,6000000178918718823,,I,26,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Levi I Samaritan High Priest,,6000000178918385827,,I,28,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Netaniel I Samaritan High Priest,,6000000178917879865,,I,29,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Hezekiah III Samaritan High Priest,,6000000178918655833,,III,32,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Amram III Samaritan High Priest,,6000000178918623825,,III,34,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Hillel II/Hanan Samaritan High Priest,,6000000178917712846,,II,35,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Hezekiah IV Samaritan High Priest,,6000000178918560829,,IV,36,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Daliah II Samaritan High Priest,,6000000178918443849,,II,37,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Akkub II Samaritan High Priest,,6000000178918571830,,II,38,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Akkubiah II Samaritan High Priest,,6000000178918529825,,II,39,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Levi II Samaritan High Priest,,6000000178917883839,,II,40,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Eleazar II Samaritan High Priest,,6000000178918011846,,II,41,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Jair IV Samaritan High Priest,,6000000178918541826,,IV,43,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Netaniel II Samaritan High Priest,,6000000178918574821,,II,44,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Jonathan III Samaritan High Priest,,6000000178918520823,,III,46,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Tabia II Samaritan High Priest,,6000000178918246839,,II,49,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Amram IV Samaritan High Priest,,6000000178918015868,,IV,50,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Akabon I Samaritan High Priest,,6000000178917722864,,I,51,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Phinehas II Samaritan High Priest,,6000000178918207842,,II,52,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Levi III Samaritan High Priest,,6000000178917758844,,III,53,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Eleazar III Samaritan High Priest,,6000000178917662852,,III,54,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Baba I Samaritan High Priest,,6000000178917369858,,I,55,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Eleazar IV Samaritan High Priest,,6000000178918374828,,IV,56,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Akabon II Samaritan High Priest,,6000000178916547925,,II,57,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Netaniel III Samaritan High Priest,,6000000178918192840,,III,58,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Akabon III Samaritan High Priest,,6000000178913798001,,III,60,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Netaniel IV Samaritan High Priest,,6000000178917506855,,IV,61,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Akabon IV Samaritan High Priest,,6000000178916715907,,IV,62,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Eleazar V Samaritan High Priest,,6000000178916677903,,V,63,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Akabon V Samaritan High Priest,,6000000178917661869,,V,64,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Eleazar VI Samaritan High Priest,,6000000178917172871,,VI,65,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Akabon VI Samaritan High Priest,,6000000178918444821,,VI,66,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Eleazar VII Samaritan High Priest,,6000000178918134827,,VII,67,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Netaniel V Samaritan High Priest,,6000000178917376830,,V,68,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Eleazar VIII Samaritan High Priest,,6000000178918428821,,VIII,69,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Netaniel VI Samaritan High Priest,,6000000178917733851,,VI,70,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Eleazar IX Samaritan High Priest,,6000000178918375822,,IX,71,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Akabon VII Samaritan High Priest,,6000000178916898908,,VII,72,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Eleazar X Samaritan High Priest,,6000000178918023825,,X,73,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Akabon VIII Samaritan High Priest,,6000000178917217910,,VIII,74,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Eleazar XI Samaritan High Priest,,6000000178917576851,,XI,75,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Akabon IX Samaritan High Priest,,6000000178915186023,,IX,76,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Eleazar XII Samaritan High Priest,,6000000178917492859,,XII,77,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Levi IV Samaritan High Priest,,6000000178918212822,,IV,79,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Phinehas III Samaritan High Priest,,6000000178918316822,,III,80,from the corpus; office from the Wikipedia list,reports/regnal-ordinals.csv
Samaritan,Tsedaka II ben Tabia ha'Åbtå'i,,6000000178795360828,Q135489731,II,113,,reports/wikidata-samaritan-succession.json
Samaritan,Yitzhaq I ben Tsedaka,,6000000227245553985,Q137394557,,114,,reports/wikidata-samaritan-succession.json
Samaritan,Abram ben Yitzhaq,,6000000178795709821,Q135489730,,115,,reports/wikidata-samaritan-succession.json
Samaritan,Levi V ben Abram,,6000000178795717823,Q135489805,V,116,,reports/wikidata-samaritan-succession.json
Samaritan,Tabia III ben Yitzhaq ben Abram,,6000000178793980898,Q135489728,III,117,,reports/wikidata-samaritan-succession.json
Samaritan,Shalma II ben Tabia,,6000000178794831823,Q135489727,II,118,,reports/wikidata-samaritan-succession.json
Samaritan,Amram VIII ben Shalma,,6000000178794999821,Q135489819,VIII,119,,reports/wikidata-samaritan-succession.json
Samaritan,Yaacob I ben Aaharon ben Shalma,,6000000178795028823,Q109888305,I,120,,reports/wikidata-samaritan-succession.json
Samaritan,Yitzhaq II ben Amram ben Shalma ben Tabia,,6000000178794973832,Q107534637,II,121,,reports/wikidata-samaritan-succession.json
Samaritan,Matzliach ben Phinehas ben Yitzhaq ben Shalma,,6000000178794683854,Q108907045,,122,,reports/wikidata-samaritan-succession.json
Samaritan,Abisha III ben Phinehas ben Yitzhaq ben Shalma,,6000000178794440875,Q107534535,III,123,,reports/wikidata-samaritan-succession.json
Samaritan,Amram IX ben Yitzhaq ben Amram ben Shalma.,,6000000178793554881,Q107534557,IX,124,,reports/wikidata-samaritan-succession.json
Samaritan,Asher ben Matzliach ben Phinehas,,6000000178794680852,Q108764515,,125,,reports/wikidata-samaritan-succession.json
Samaritan,Phinehas X ben Matzliach ben Phinehas,,6000000178793727891,Q108907046,X,126,,reports/wikidata-samaritan-succession.json
Samaritan,Yaacob II ben Uzzi ben Yaacob ben Aaharon,,6000000178795086852,Q118782320,II,127,,reports/wikidata-samaritan-succession.json
Samaritan,Yoseph II ben Ab-Hisda ben Yaacov ben Aaharon,,6000000178794287858,Q8055954,II,128,,reports/wikidata-samaritan-succession.json
Samaritan,Levi VI ben Abisha ben Phinehas ben Yitzhaq,,6000000178794757852,Q2666440,VI,129,,reports/wikidata-samaritan-succession.json
Samaritan,Saloum Cohen,,6000000178793768878,Q2067443,,130,,reports/wikidata-samaritan-succession.json
Samaritan,Elazar XX ben Tsedaka ben Yitzhaq,,6000000178794668840,Q2164896,XX,131,office from the Wikipedia list,reports/wikidata-samaritan-succession.json
Samaritan,Aharon IV ben Ab-Hisda ben Yaacov ben Aaharon,,6000000178795253826,Q2031200,IV,132,office from the Wikipedia list,reports/wikidata-samaritan-succession.json
Samaritan,Aabed-El V ben Asher ben Matzliach,,6000000178795554821,Q13485740,V,133,office from the Wikipedia list,reports/wikidata-samaritan-succession.json
Samaritan,Amram I. Samaritan High Priest,,6000000178918625831,,I,,from the corpus,reports/regnal-ordinals.csv
